state,total_2012_2024
Delta,20126.207336669002
Rivers,14191.470196488
Bayelsa,9878.09600692
Edo,4615.775446871
Imo,2888.585841554
Akwa Ibom,1760.015436511
Abia,356.831661693
Ondo,213.458631161
Anambra,54.609645432
Lagos,30.652016253000003
