state,flare_vol_mcm_avg,local_I,local_p,cluster
Delta,1548.1697951283845,4.607428614865013,5.3311109334593894e-5,High-High
Rivers,1091.651553576,3.1420189768189704,6.826230406887902e-4,High-High
Bayelsa,759.8535389938462,7.42632992691363,1.4284615391714964e-8,High-High
Edo,355.0596497593077,0.6568028426430066,0.060942781215357365,Not Significant
Imo,222.19891088876923,0.273079630633229,0.14746945571070205,Not Significant
Akwa Ibom,135.38580280853847,0.05465643415604433,0.15751118572357756,Not Significant
Ondo,35.576438526833336,-0.15083250903178158,0.10397743948137224,Not Significant
Abia,27.448589361,-0.07787277335281319,0.41061321375944104,Not Significant
Anambra,10.9219290864,-0.3412334976960415,0.0020906647409910484,Low-High
Lagos,5.1086693755,0.11664091933158445,0.7230115716612338,Not Significant
Adamawa,0,0.12214956634629168,0.5266693081659595,Not Significant
Bauchi,0,0.12214956634629164,0.30225249485461114,Not Significant
Benue,0,0.12214956634629168,0.3477118206128655,Not Significant
Borno,0,0.12214956634629168,0.5266693081659595,Not Significant
Cross River,0,0.07825373347941117,0.629235162047387,Not Significant
Ebonyi,0,0.1147501547418463,0.48479034166741164,Not Significant
Ekiti,0,0.11255910220191873,0.49292607179972414,Not Significant
Enugu,0,0.11387462716499647,0.43087422484537075,Not Significant
Federal Capital Territory,0,0.12214956634629168,0.45786087700349576,Not Significant
Gombe,0,0.12214956634629168,0.3990718695367898,Not Significant
Jigawa,0,0.12214956634629168,0.45786087700349576,Not Significant
Kaduna,0,0.12214956634629169,0.26170782419646116,Not Significant
Kano,0,0.12214956634629168,0.45786087700349576,Not Significant
Katsina,0,0.12214956634629168,0.45786087700349576,Not Significant
Kebbi,0,0.12214956634629168,0.5266693081659595,Not Significant
Kogi,0,0.07884981036209264,0.3936168733045944,Not Significant
Kwara,0,0.12214956634629168,0.3990718695367898,Not Significant
Nasarawa,0,0.12214956634629168,0.3477118206128655,Not Significant
Niger,0,0.12214956634629168,0.3477118206128655,Not Significant
Ogun,0,0.1111819404482419,0.4980768959154227,Not Significant
Osun,0,0.11447719503079329,0.4285099339208404,Not Significant
Oyo,0,0.12214956634629168,0.5266693081659595,Not Significant
Plateau,0,0.12214956634629168,0.45786087700349576,Not Significant
Sokoto,0,0.12214956634629168,0.610567020645119,Not Significant
Taraba,0,0.12214956634629168,0.3477118206128655,Not Significant
Yobe,0,0.12214956634629168,0.45786087700349576,Not Significant
Zamfara,0,0.12214956634629168,0.3990718695367898,Not Significant
